collection,algoritmo,execucao_index,tempo_ns
ordenados,insertion,0,647500
ordenados,insertion,1,682100
ordenados,insertion,2,687300
ordenados,insertion,3,545800
ordenados,insertion,4,512700
ordenados,insertion,5,514100
ordenados,insertion,6,532300
ordenados,insertion,7,531100
ordenados,insertion,8,528400
ordenados,insertion,9,550300
ordenados,insertion,10,776200
ordenados,insertion,11,541900
ordenados,insertion,12,538000
ordenados,insertion,13,533900
ordenados,insertion,14,584600
ordenados,insertion,15,531600
ordenados,insertion,16,527100
ordenados,insertion,17,536100
ordenados,insertion,18,534800
ordenados,insertion,19,565400
ordenados,insertion,20,533700
ordenados,insertion,21,544500
ordenados,insertion,22,607000
ordenados,insertion,23,587900
ordenados,insertion,24,547200
ordenados,insertion,25,665100
ordenados,insertion,26,554700
ordenados,insertion,27,538000
ordenados,insertion,28,540500
ordenados,insertion,29,529700
ordenados,insertion,30,548000
ordenados,insertion,31,537100
ordenados,insertion,32,545200
ordenados,insertion,33,523000
ordenados,insertion,34,529600
ordenados,insertion,35,592100
ordenados,insertion,36,577200
ordenados,insertion,37,585700
ordenados,insertion,38,606300
ordenados,insertion,39,533200
ordenados,insertion,40,600900
ordenados,insertion,41,600400
ordenados,insertion,42,575000
ordenados,insertion,43,630100
ordenados,insertion,44,546600
ordenados,insertion,45,593700
ordenados,insertion,46,565100
ordenados,insertion,47,748100
ordenados,insertion,48,556200
ordenados,insertion,49,529900
ordenados,insertion,50,541600
ordenados,insertion,51,541500
ordenados,insertion,52,548100
ordenados,insertion,53,682500
ordenados,insertion,54,567500
ordenados,insertion,55,541000
ordenados,insertion,56,533200
ordenados,insertion,57,547900
ordenados,insertion,58,539200
ordenados,insertion,59,632600
ordenados,insertion,60,543700
ordenados,insertion,61,535400
ordenados,insertion,62,526000
ordenados,insertion,63,627600
ordenados,insertion,64,855200
ordenados,insertion,65,579000
ordenados,insertion,66,551000
ordenados,insertion,67,532500
ordenados,insertion,68,616200
ordenados,insertion,69,530300
ordenados,insertion,70,528700
ordenados,insertion,71,665000
ordenados,insertion,72,539800
ordenados,insertion,73,524700
ordenados,insertion,74,541300
ordenados,insertion,75,536200
ordenados,insertion,76,531500
ordenados,insertion,77,544500
ordenados,insertion,78,547500
ordenados,insertion,79,570400
ordenados,insertion,80,531300
ordenados,insertion,81,536600
ordenados,insertion,82,528600
ordenados,insertion,83,560700
ordenados,insertion,84,551600
ordenados,insertion,85,541400
ordenados,insertion,86,557600
ordenados,insertion,87,572400
ordenados,insertion,88,561000
ordenados,insertion,89,549800
ordenados,insertion,90,522800
ordenados,insertion,91,514700
ordenados,insertion,92,526700
ordenados,insertion,93,547300
ordenados,insertion,94,518600
ordenados,insertion,95,562900
ordenados,insertion,96,594700
ordenados,insertion,97,545000
ordenados,insertion,98,524100
ordenados,insertion,99,561200
ordenados,merge,0,8400700
ordenados,merge,1,8103300
ordenados,merge,2,8106500
ordenados,merge,3,7943100
ordenados,merge,4,8468400
ordenados,merge,5,8164900
ordenados,merge,6,8125100
ordenados,merge,7,8324300
ordenados,merge,8,8352800
ordenados,merge,9,8534600
ordenados,merge,10,8449500
ordenados,merge,11,8244500
ordenados,merge,12,8426300
ordenados,merge,13,7935400
ordenados,merge,14,8200700
ordenados,merge,15,8123500
ordenados,merge,16,8160500
ordenados,merge,17,7971800
ordenados,merge,18,8362600
ordenados,merge,19,8150800
ordenados,merge,20,8092300
ordenados,merge,21,7986800
ordenados,merge,22,7976600
ordenados,merge,23,8014000
ordenados,merge,24,8037200
ordenados,merge,25,8049400
ordenados,merge,26,8025700
ordenados,merge,27,8111800
ordenados,merge,28,8014300
ordenados,merge,29,7982000
ordenados,merge,30,7908000
ordenados,merge,31,8447600
ordenados,merge,32,8085500
ordenados,merge,33,8021200
ordenados,merge,34,7998400
ordenados,merge,35,8017700
ordenados,merge,36,7943100
ordenados,merge,37,7963200
ordenados,merge,38,7967600
ordenados,merge,39,7989400
ordenados,merge,40,7951600
ordenados,merge,41,8146300
ordenados,merge,42,8053400
ordenados,merge,43,8100100
ordenados,merge,44,8195400
ordenados,merge,45,8132100
ordenados,merge,46,7955500
ordenados,merge,47,8122400
ordenados,merge,48,7957400
ordenados,merge,49,8012500
ordenados,merge,50,8002200
ordenados,merge,51,8166700
ordenados,merge,52,8074100
ordenados,merge,53,8035400
ordenados,merge,54,8096700
ordenados,merge,55,8124100
ordenados,merge,56,8094300
ordenados,merge,57,8436600
ordenados,merge,58,8100800
ordenados,merge,59,9204100
ordenados,merge,60,8888400
ordenados,merge,61,8938200
ordenados,merge,62,8792400
ordenados,merge,63,8669400
ordenados,merge,64,8927400
ordenados,merge,65,9097900
ordenados,merge,66,8420700
ordenados,merge,67,8435700
ordenados,merge,68,8474400
ordenados,merge,69,8588900
ordenados,merge,70,8550100
ordenados,merge,71,8656700
ordenados,merge,72,8423800
ordenados,merge,73,9147800
ordenados,merge,74,8567400
ordenados,merge,75,8818800
ordenados,merge,76,8390100
ordenados,merge,77,8689200
ordenados,merge,78,8534300
ordenados,merge,79,8446600
ordenados,merge,80,8286800
ordenados,merge,81,10099900
ordenados,merge,82,9039200
ordenados,merge,83,8739200
ordenados,merge,84,8638500
ordenados,merge,85,9102900
ordenados,merge,86,9495300
ordenados,merge,87,8611900
ordenados,merge,88,8502900
ordenados,merge,89,8213400
ordenados,merge,90,8340900
ordenados,merge,91,8494300
ordenados,merge,92,8895500
ordenados,merge,93,8322500
ordenados,merge,94,8229200
ordenados,merge,95,8427200
ordenados,merge,96,8282100
ordenados,merge,97,8749400
ordenados,merge,98,8346400
ordenados,merge,99,8229100
ordenados,hibrido,0,3619800
ordenados,hibrido,1,3636400
ordenados,hibrido,2,3596300
ordenados,hibrido,3,3662800
ordenados,hibrido,4,3630900
ordenados,hibrido,5,3514700
ordenados,hibrido,6,3597000
ordenados,hibrido,7,3818100
ordenados,hibrido,8,3995600
ordenados,hibrido,9,3466900
ordenados,hibrido,10,3630700
ordenados,hibrido,11,3593200
ordenados,hibrido,12,3679100
ordenados,hibrido,13,3513100
ordenados,hibrido,14,3798600
ordenados,hibrido,15,3431900
ordenados,hibrido,16,3811400
ordenados,hibrido,17,3593800
ordenados,hibrido,18,3729700
ordenados,hibrido,19,3521500
ordenados,hibrido,20,3683100
ordenados,hibrido,21,3918500
ordenados,hibrido,22,3524800
ordenados,hibrido,23,3640300
ordenados,hibrido,24,3538700
ordenados,hibrido,25,3795800
ordenados,hibrido,26,3762000
ordenados,hibrido,27,4016000
ordenados,hibrido,28,3763200
ordenados,hibrido,29,3960800
ordenados,hibrido,30,3574300
ordenados,hibrido,31,4077300
ordenados,hibrido,32,3852700
ordenados,hibrido,33,3837000
ordenados,hibrido,34,3917400
ordenados,hibrido,35,3582600
ordenados,hibrido,36,3713200
ordenados,hibrido,37,3612700
ordenados,hibrido,38,3730400
ordenados,hibrido,39,3446400
ordenados,hibrido,40,3610500
ordenados,hibrido,41,3493800
ordenados,hibrido,42,3923500
ordenados,hibrido,43,3451900
ordenados,hibrido,44,3773200
ordenados,hibrido,45,3449000
ordenados,hibrido,46,3737300
ordenados,hibrido,47,3953000
ordenados,hibrido,48,3650900
ordenados,hibrido,49,3616900
ordenados,hibrido,50,3582200
ordenados,hibrido,51,3651000
ordenados,hibrido,52,3448400
ordenados,hibrido,53,3613400
ordenados,hibrido,54,3572400
ordenados,hibrido,55,3651000
ordenados,hibrido,56,3679200
ordenados,hibrido,57,3641700
ordenados,hibrido,58,3514500
ordenados,hibrido,59,3639900
ordenados,hibrido,60,3712800
ordenados,hibrido,61,3762500
ordenados,hibrido,62,3551900
ordenados,hibrido,63,3695000
ordenados,hibrido,64,3599100
ordenados,hibrido,65,4176800
ordenados,hibrido,66,3804300
ordenados,hibrido,67,3630700
ordenados,hibrido,68,3840000
ordenados,hibrido,69,3540600
ordenados,hibrido,70,3781600
ordenados,hibrido,71,3617300
ordenados,hibrido,72,3773700
ordenados,hibrido,73,3553600
ordenados,hibrido,74,3768900
ordenados,hibrido,75,3451100
ordenados,hibrido,76,3853600
ordenados,hibrido,77,3588500
ordenados,hibrido,78,3833700
ordenados,hibrido,79,3478400
ordenados,hibrido,80,3812100
ordenados,hibrido,81,3546100
ordenados,hibrido,82,3885000
ordenados,hibrido,83,3740500
ordenados,hibrido,84,3568300
ordenados,hibrido,85,3867000
ordenados,hibrido,86,3690400
ordenados,hibrido,87,3865800
